name,style
Oban Elliott,grappler
Lisa Ellis,grappler
Anna Elmose,striker
Cameron Else,striker
Ramazan Emeev,grappler
Rob Emerson,grappler
Jamall Emmers,grappler
Josh Emmett,striker
Oliver Enkamp,grappler
Ian Entwistle,striker
Andy Enz,striker
Steve Erceg,grappler
Konstantin Erokhin,striker
Julian Erosa,grappler
Jarno Errens,striker
Ivan Erslan,grappler
Cole Escovedo,grappler
Efrain Escudero,grappler
Carla Esparza,grappler
Juan Espino,grappler
Jordan Espinosa,striker
Jodie Esquibel,grappler
Rafael Estevam,grappler
Terry Etim,striker
Fred Ettish,grappler
Sijara Eubanks,grappler
Rashad Evans,grappler
Doug Evans,grappler
Ashlee Evans-Smith,grappler
Dan Evensen,striker
Tonya Evinger,grappler
Movsar Evloev,grappler
Andre Ewell,striker
Jessica Eye,striker
Edward Faaloloto,striker
Urijah Faber,grappler
Melinda Fabian,striker
Bartosz Fabinski,grappler
Jason Fairn,grappler
Zarah Fairn,striker
Rinat Fakhretdinov,grappler
Maiquel Falcao,grappler
Pedro Falcao,grappler
Brodie Farber,grappler
Kalindra Faria,grappler
Kelly Faszholz,striker
Paul Felder,striker
Carlos Felipe,striker
Feng Xiaocan,grappler
Kevin Ferguson,grappler
Tony Ferguson,striker
Josh Ferguson,grappler
CJ Fernandes,grappler
Gabriella Fernandes,striker
Kaue Fernandes,grappler
Alexandre Ferreira,grappler
Cezar Ferreira,grappler
Diego Ferreira,grappler
Brunno Ferreira,grappler
Scott Ferrozzo,striker
Andre Fialho,striker
Drew Fickett,grappler
Scott Fiedler,grappler
Michal Figlak,grappler
Deiveson Figueiredo,grappler
Francisco Figueiredo,grappler
Edwin Figueroa,striker
Jafel Filho,grappler
Andre Fili,grappler
Mirko Filipovic,striker
Torrez Finney,grappler
Luigi Fioravanti,grappler
Nick Fiore,grappler
Manon Fiorot,grappler
Spencer Fisher,striker
Chris Fishgold,grappler
Jon Fitch,grappler
Rafael Fiziev,striker
Colin Fletcher,striker
AJ Fletcher,grappler
Nathan Fletcher,grappler
Jimmy Flick,grappler
Kenny Florian,grappler
Darrius Flowers,grappler
Caros Fodor,grappler
Rob Font,striker
Jesse Forbes,grappler
Jussier Formiga,grappler
Renee Forte,grappler
Brianna Fortino,grappler
Marcel Fortuna,striker
Brian Foster,grappler
Xavier Foupa-Pokam,striker
Hermes Franca,grappler
Glaico Franca Moreira,grappler
Rich Franklin,striker
Zane Frazier,striker
Justin Frazier,grappler
Ian Freeman,striker
Willamy Freire,grappler
Josh Fremd,grappler
Matt Frevola,grappler
Jinh Yu Frey,grappler
Sarah Frota,striker
Daniel Frunza,grappler
Don Frye,striker
Tony Fryklund,grappler
Adam Fugitt,grappler
Katsuhisa Fujii,grappler
Riki Fukuda,grappler
Masio Fullen,striker
Travis Fulton,grappler
Sam Fulton,striker
Ricardo Funch,grappler
Claudia Gadelha,grappler
Magomed Gadzhiyasulov,grappler
Justin Gaethje,striker
Sheila Gaff,striker
Muin Gafurov,striker
Mitch Gagnon,grappler
Dave Galera,grappler
Mickey Gall,grappler
Tom Gallicchio,grappler
Joey Gambino,striker
Manvel Gamburyan,grappler
Mateusz Gamrot,grappler
Shamil Gamzatov,striker
Ciryl Gane,striker
Sean Gannon,grappler
Eduardo Garagorri,striker
Cody Garbrandt,striker
Leonard Garcia,striker
Edgar Garcia,grappler
Alex Garcia,grappler
Steve Garcia,striker
Elias Garcia,grappler
Rafa Garcia,grappler
Fernie Garcia,striker
Pablo Garza,grappler
Azamat Gashimov,grappler
Brian Gassaway,grappler
Kelvin Gastelum,grappler
Willie Gates,striker
Melissa Gatto,grappler
Louis Gaudinot,grappler
Ateba Gautier,grappler
Shamil Gaziev,grappler
Paul Georgieff,grappler
Brian Geraghty,grappler
Karine Gevorgyan,grappler
Yanis Ghemmouri,striker
Darrel Gholar,grappler
Tiki Ghosn,striker
Christos Giagos,grappler
Joe Giannetti,grappler
James Giboo,grappler
Lance Gibson,grappler
Cody Gibson,grappler
Thomas Gifford,grappler
Joseph Gigliotti,grappler
Joey Gilbert,grappler
Trevin Giles,grappler
Gregor Gillespie,grappler
Jason Gilliam,striker
Micheal Gillmore,striker
Bob Gilstrap,grappler
He-Man Gipson,grappler
Ricky Glenn,striker
Mark Godbeer,striker
Loopy Godinez,grappler
Jason Godsey,grappler
Allan Goes,grappler
Billy Ray Goff,grappler
Hannah Goldy,striker
Marcelo Golm,grappler
Denise Gomes,grappler
Ulysses Gomez,striker
Joey Gomez,grappler
Silvana Gomez Juarez,striker
Takanori Gomi,striker
William Gomis,striker
Akihiro Gono,grappler
Gabriel Gonzaga,grappler
Lewis Gonzalez,grappler
Jason Gonzalez,striker
Pearl Gonzalez,grappler
Erick Gonzalez,grappler
Lyman Good,striker
Jared Gooden,striker
Gary Goodridge,striker
Gerard Gordeau,striker
Eddie Gordon,grappler
Jared Gordon,grappler
Malcolm Gordon,grappler
Tresean Gore,grappler
Alex Gorgees,grappler
