name,height,reach,stance,rating,rd,volatility,tot_str_pct,td_pct,sig_str_pct,head_sig_str_pct,body_sig_str_pct,leg_sig_str_pct,dist_sig_str_pct,clch_sig_str_pct,gnd_sig_str_pct,avg_kd,avg_tot_str_lnd,avg_td_lnd,avg_sub_att,avg_rev,avg_ctrl,avg_sig_str_lnd,avg_head_sig_str_lnd,avg_body_sig_str_lnd,avg_leg_sig_str_lnd,avg_dist_sig_str_lnd,avg_clch_sig_str_lnd,avg_gnd_sig_str_lnd
Iuri Alcantara,69,71,Southpaw,1687.688798283069,109.92774131750672,0.05999942144607386,0.5338674458065469,0.3627450980392157,0.46109491443563194,0.3858829558692315,0.7159993629558847,0.48137254901960785,0.36178797088212056,0.6823529411764706,0.6383736741868229,0.196078431372549,17.352941176470587,0.37254901960784315,0.28431372549019607,0.0196078431372549,34.029411764705884,12.274509803921568,8.42156862745098,3.0294117647058822,0.8235294117647058,7.549019607843138,1.0588235294117647,3.666666666666667
Ildemar Alcantara,74,78,Orthodox,1495.479466576405,169.58219077075933,0.060001543282919345,0.465850568914781,0.5340136054421769,0.39890119732484264,0.30028113086927666,0.7600903997962821,0.7857142857142857,0.3131182309753738,0.792063492063492,0.46904761904761905,0.0,14.214285714285714,0.6666666666666667,0.35714285714285715,0.0,48.952380952380956,9.523809523809524,5.285714285714286,3.238095238095238,1.0,6.666666666666667,1.6666666666666667,1.1904761904761902
Alfonso Alcarez,63,63,Orthodox,1500.0,290.31896161384265,0.05999896144314354,0.6831683168316832,0.5,0.5483870967741935,0.44680851063829785,0.75,1.0,0.6,0.5675675675675675,0.4,0.0,34.5,0.5,0.0,0.0,63.5,17.0,10.5,3.0,3.5,4.5,10.5,2.0
Gilbert Aldana,73,73,Orthodox,1306.2542654598872,251.12983971012557,0.05999860126792644,0.7270903010033445,0.3333333333333333,0.6342592592592593,0.5780730897009967,1.0,0.3333333333333333,0.21428571428571427,0.2638888888888889,0.75,0.0,19.5,1.0,0.0,0.0,114.5,10.0,7.25,1.75,1.0,1.5,4.75,3.75
Irene Aldana,69,68,Orthodox,1724.0969757291318,112.1711450742698,0.06000611392679104,0.4396637841432784,0.10714285714285714,0.40599450977251744,0.34334931906306504,0.6073704573887255,0.7719155183440897,0.372705869973427,0.7041442892946652,0.2818183217342881,0.16666666666666666,30.74761904761905,0.047619047619047616,0.07142857142857142,0.07142857142857142,10.4,27.309523809523807,19.042857142857144,3.9285714285714284,4.338095238095238,23.37142857142857,1.3857142857142857,2.5523809523809526
Hector Aldana,71,72,Orthodox,1215.0382920833604,229.30297591677774,0.059998064139919004,0.3507711118291666,0.3333333333333333,0.3432306255835667,0.22856153760939404,0.39444444444444443,0.7615440115440114,0.33872555327540393,0.16666666666666666,0.3333333333333333,0.0,16.166666666666668,0.3333333333333333,0.0,0.0,8.111111111111112,15.5,8.166666666666666,1.777777777777778,5.555555555555556,14.666666666666666,0.6666666666666666,0.16666666666666666
Jose Aldo,67,70,Orthodox,2016.3159223555608,92.00212252104893,0.06000246768483407,0.49595402030643715,0.1313131313131313,0.4636093990307415,0.390248204275216,0.6698323861864711,0.8036485842705937,0.43828156834970744,0.6272727272727273,0.31801784074511347,0.12727272727272726,19.640151515151516,0.13560606060606062,0.03636363636363637,0.0,28.127272727272725,16.96060606060606,11.290909090909091,3.609848484848485,2.0598484848484846,14.834848484848486,0.8409090909090909,1.284848484848485
JJ Aldrich,65,67,Southpaw,1623.575508121079,109.15074088130315,0.060002666041746346,0.5276404741692146,0.1732142857142857,0.4792483219320654,0.4408084373324247,0.7256908661513924,0.5781573498964803,0.42834748584267973,0.7161620670995671,0.4328548085901027,0.0,24.291666666666668,0.25,0.0,0.05208333333333333,51.97916666666667,19.25,15.833333333333334,2.40625,1.0104166666666667,15.010416666666666,2.1979166666666665,2.041666666666667
Irina Alekseeva,68,67,Orthodox,1562.218776312184,240.44963901195683,0.06000080436995693,0.4426406926406926,0.125,0.4267676767676768,0.27262544802867383,0.5803571428571428,0.7965517241379311,0.4198966408268734,0.75,0.2,0.16666666666666666,19.0,0.16666666666666666,0.5,0.0,8.333333333333334,17.0,7.333333333333334,3.8333333333333335,5.833333333333334,15.833333333333332,0.8333333333333333,0.3333333333333333
Talita Alencar,61,58,Orthodox,1647.3706261441723,214.36887314603914,0.06000040675284734,0.4230264913283781,0.337037037037037,0.3669408472884239,0.3166965174129353,0.6145454545454546,0.5476190476190476,0.2488490730372029,0.7407407407407408,0.4896825396825397,0.0,22.222222222222218,0.6666666666666666,0.1111111111111111,0.0,106.66666666666667,13.555555555555555,8.88888888888889,3.5555555555555554,1.1111111111111112,7.777777777777778,1.5555555555555556,4.222222222222222
Jim Alers,69,71,Orthodox,1389.5475546860955,215.35697965013796,0.05999984857568753,0.5266734180683164,0.43333333333333335,0.4403020993343574,0.3716896130689234,0.5185185185185185,0.8174603174603176,0.3789698605488079,0.42424242424242425,0.5714285714285715,0.1111111111111111,23.055555555555554,0.8333333333333334,0.16666666666666666,0.0,81.16666666666666,14.055555555555555,9.777777777777777,0.9444444444444443,3.3333333333333335,10.055555555555555,2.6666666666666665,1.3333333333333333
John Alessio,70,72,Orthodox,1223.6307071176484,195.68424602662114,0.05999576840475776,0.5055678912498264,0.04,0.33517967389424924,0.2124502383796188,0.45,0.6,0.21755595658821464,0.6206349206349207,0.26666666666666666,0.0,13.3,0.13333333333333333,0.26666666666666666,0.06666666666666667,25.933333333333337,6.633333333333333,5.333333333333334,0.7666666666666667,0.5333333333333334,5.466666666666667,1.0333333333333334,0.13333333333333333
