name,height,weight,reach,stance,wins,losses,draws
Gabriel Benitez,"5' 8""",155 lbs.,"71.0""",Southpaw,23,13,0
Charles Bennett,"5' 8""",155 lbs.,--,Orthodox,30,33,2
Josh Bennett,"6' 4""",259 lbs.,--,Orthodox,11,14,0
DeAnna Bennett,"5' 4""",125 lbs.,"68.0""",Orthodox,8,3,1
Benjamin Bennett,"6' 0""",170 lbs.,"73.0""",Switch,7,1,0
Lance Benoist,"5' 11""",170 lbs.,"72.0""",Southpaw,7,2,0
Joe Benoit,"5' 9""",170 lbs.,--,Orthodox,11,4,0
Ryan Benoit,"5' 5""",125 lbs.,"68.0""",Orthodox,10,8,0
Pat Benson,"5' 9""",155 lbs.,--,,3,5,3
Len Bentley,"5' 9""",155 lbs.,--,,10,6,0
Steve Berger,"5' 11""",170 lbs.,--,Orthodox,21,23,2
Kenneth Bergh,"6' 2""",205 lbs.,"74.0""",Orthodox,8,0,0
Bret Bergmark,"5' 9""",170 lbs.,--,,6,1,1
Keith Berish,"6' 0""",205 lbs.,--,Orthodox,5,1,0
Dennis Bermudez,"5' 6""",155 lbs.,"66.0""",Orthodox,17,9,0
Manny Bermudez,"5' 10""",145 lbs.,"71.0""",Orthodox,14,2,0
Talita Bernardo,"5' 4""",135 lbs.,"68.0""",Orthodox,6,4,0
Dave Berry,--,--,--,,0,1,0
Keith Berry,"6' 1""",185 lbs.,--,,15,14,1
Dieusel Berto,"5' 9""",200 lbs.,--,,0,3,0
Edson Berto,"5' 6""",155 lbs.,--,Orthodox,17,12,1
Allen Berube,"5' 8""",155 lbs.,--,Orthodox,4,3,0
Anton Berzin,"6' 2""",205 lbs.,--,Orthodox,5,1,0
Scott Bessac,"6' 4""",245 lbs.,--,,4,6,0
Matt Bessette,"5' 10""",145 lbs.,"70.0""",Orthodox,22,9,0
Khadzhi Bestaev,"6' 6""",185 lbs.,"76.0""",,10,4,0
Fernando Bettega,--,170 lbs.,--,,7,5,0
Arjan Bhullar,"6' 1""",245 lbs.,"75.0""",Orthodox,9,1,0
KB Bhullar,"6' 4""",185 lbs.,"78.0""",Switch,8,2,0
Bibulatov Magomed,"5' 5""",125 lbs.,"65.0""",Orthodox,14,2,0
David Bielkheden,"5' 10""",155 lbs.,"71.0""",Orthodox,24,12,0
Blake Bilder,"5' 8""",145 lbs.,"68.0""",Switch,8,2,1
Jonas Bilharinho,"5' 11""",145 lbs.,"75.0""",Switch,9,1,1
Jeremiah Billington,"5' 9""",205 lbs.,--,Orthodox,11,2,0
Scott Bills,"5' 10""",170 lbs.,--,,7,9,1
Anthony Birchak,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,0
Chris Birchler,"6' 3""",205 lbs.,--,Switch,7,4,0
Angad Bisht,"5' 7""",125 lbs.,"67.0""",Orthodox,10,3,0
Michael Bisping,"6' 1""",185 lbs.,"75.0""",Orthodox,30,9,0
Amaury Bitetti,"5' 9""",185 lbs.,--,Orthodox,5,2,0
Caio Bittencourt,"6' 0""",185 lbs.,"75.0""",Orthodox,14,7,0
Davi Bittencourt,"5' 5""",135 lbs.,"65.0""",Orthodox,14,4,0
Simon Biyong,--,205 lbs.,--,,7,1,0
Jan Blachowicz,"6' 2""",205 lbs.,"78.0""",Orthodox,29,11,1
Jason Black,"5' 8""",155 lbs.,--,Orthodox,23,4,1
Brad Blackburn,"5' 10""",170 lbs.,"73.0""",Orthodox,18,13,1
Jason Blackford,--,--,--,,3,3,0
Tom Blackledge,--,205 lbs.,--,Orthodox,10,7,0
Sherrard Blackledge,"5' 11""",155 lbs.,"75.0""",Orthodox,5,1,0
Da'Mon Blackshear,"5' 10""",135 lbs.,"72.0""",Switch,16,7,1
Chasen Blair,"5' 10""",155 lbs.,"71.0""",Orthodox,6,3,0
